Source,Target,Weight_x,Weight_y,Weight
e039,j9601,0.1048,0.1244,0.1439
e039,r339,0.0335,0.0349,0.0313
e039,r6520,0.0179,0.0204,0.0193
e039,g4733,0.1117,0.1067,0.1063
e039,i160,0.0199,0.0222,0.0228
e039,z6841,0.0435,0.0415,0.0495
e039,z833,0.0314,0.0304,0.0187
e039,e875,0.0632,0.0713,0.0722
e039,i429,0.0334,0.0317,0.0268
e039,z853,0.0522,0.0511,0.0494
e039,d62,0.0963,0.0903,0.0943
e039,i21a1,0.013999999999999999,0.02,0.0219
e039,i2699,0.0162,0.0155,0.0188
e039,r740,0.0143,0.0194,0.0128
e039,i252,0.0794,0.0772,0.0711
e039,o99284,0.043,0.0427,0.0457
e039,z370,0.0337,0.0338,0.0362
e039,z95810,0.027000000000000003,0.0283,0.0253
e039,e119,0.1277,0.1217,0.1262
e039,e8339,0.0307,0.0341,0.0352
e039,g8918,0.0149,0.012,0.013000000000000001
e039,i248,0.0126,0.0157,0.0177
e039,i420,0.0099,0.0106,0.0109
e039,i509,0.0613,0.0625,0.0595
e039,z952,0.0223,0.0228,0.021
e039,m549,0.048,0.0417,0.0431
e039,z9884,0.0289,0.025,0.028999999999999998
e039,d696,0.0565,0.0581,0.0596
e039,m329,0.0129,0.0113,0.011000000000000001
e039,r0789,0.0145,0.0141,0.0141
e039,r531,0.0496,0.0545,0.0577
e039,r55,0.027999999999999997,0.0282,0.0294
e039,z3a39,0.0171,0.0171,0.0182
e039,e11621,0.0148,0.0157,0.0137
e039,i132,0.0201,0.0217,0.0197
e039,z9119,0.028999999999999998,0.0282,0.0256
e039,b9620,0.04,0.0416,0.0403
e039,f0390,0.0779,0.0836,0.0801
e039,g40909,0.0425,0.0421,0.0421
e039,z8673,0.1027,0.1036,0.0988
e039,g2581,0.0371,0.0346,0.0348
e039,z86718,0.0649,0.0624,0.0626
e039,r509,0.0166,0.0217,0.0214
e039,j449,0.1253,0.1192,0.1133
e039,r627,0.0176,0.0186,0.0198
e039,r6510,0.0115,0.0105,0.0101
e039,e1140,0.0437,0.0439,0.0391
e039,j45909,0.0861,0.0788,0.0869
e039,n182,0.0149,0.0137,0.0155
e039,z6843,0.0181,0.018000000000000002,0.0199
e039,e440,0.0185,0.0238,0.0214
e039,k5900,0.0803,0.0737,0.0771
e039,z681,0.0332,0.0305,0.0323
e039,z79891,0.0455,0.0442,0.0326
e039,z9221,0.0361,0.0329,0.0296
e039,z923,0.0371,0.0372,0.0362
e039,i495,0.0266,0.0259,0.0244
e039,z950,0.0695,0.0679,0.0631
e039,z981,0.0305,0.0286,0.0335
e039,f319,0.0408,0.040999999999999995,0.0411
e039,a0472,0.0141,0.0139,0.0143
e039,i313,0.011000000000000001,0.0116,0.01
e039,m6282,0.0108,0.0105,0.0135
e039,r410,0.013000000000000001,0.0144,0.0131
e039,d6959,0.0171,0.0178,0.0145
e039,g4730,0.0407,0.033,0.033
e039,k5730,0.0176,0.0167,0.0157
e039,k589,0.0201,0.0173,0.017
e039,d638,0.0406,0.0429,0.0419
e039,z590,0.0154,0.0166,0.0154
e039,r42,0.0199,0.018000000000000002,0.0178
e039,k8020,0.0127,0.0115,0.0127
e039,d509,0.044000000000000004,0.0479,0.0451
e039,j90,0.0395,0.0393,0.0393
e039,z8546,0.0219,0.0218,0.0218
e039,i480,0.1214,0.1191,0.1176
e039,d72829,0.0504,0.0478,0.052000000000000005
e039,n401,0.0246,0.0235,0.0205
e039,k3184,0.0122,0.0144,0.0129
e039,r079,0.0269,0.0257,0.0233
e039,i4510,0.0162,0.0173,0.0174
e039,i639,0.0154,0.0163,0.013999999999999999
e039,z86711,0.0456,0.0451,0.0446
e039,f0280,0.0288,0.0286,0.0268
e039,z85828,0.0366,0.0355,0.0348
e039,z881,0.037000000000000005,0.0375,0.0356
e039,f1120,0.0308,0.0318,0.0296
e039,k921,0.015,0.0138,0.0147
e039,z9049,0.0971,0.0908,0.0949
e039,z9114,0.0322,0.0282,0.0304
e039,e873,0.0136,0.0125,0.0149
e039,i440,0.0113,0.011000000000000001,0.0102
e039,i447,0.0209,0.0205,0.0189
e039,r64,0.011000000000000001,0.0114,0.0112
e039,z006,0.0114,0.0117,0.0146
e039,i951,0.0243,0.0232,0.0241
e039,j9811,0.0353,0.0431,0.0355
e039,m1990,0.1163,0.0981,0.1021
e039,r001,0.0334,0.0319,0.0363
e039,z8249,0.0543,0.0583,0.036000000000000004
e039,r791,0.0158,0.0164,0.017
e039,h409,0.0308,0.0265,0.0249
e039,r197,0.0312,0.0334,0.0381
e039,m545,0.0308,0.0286,0.027000000000000003
e039,m797,0.0548,0.049,0.0512
e039,z515,0.0542,0.0605,0.0704
e039,z91041,0.0131,0.0125,0.0114
e039,b961,0.018000000000000002,0.0173,0.0191
e039,i739,0.0363,0.0346,0.0312
e039,z8701,0.0163,0.0192,0.0141
e039,k2970,0.0153,0.0143,0.0136
e039,i471,0.0214,0.0215,0.0221
e039,e43,0.0353,0.0349,0.0364
e039,e8351,0.0195,0.0212,0.0231
e039,n170,0.0273,0.0279,0.0299
e039,e559,0.0214,0.0222,0.0197
e039,r0902,0.0365,0.044000000000000004,0.0439
e039,i214,0.023,0.0262,0.0263
e039,i255,0.0347,0.0382,0.0351
e039,i2720,0.0636,0.0637,0.0541
e039,i472,0.0205,0.0224,0.0223
e039,i5023,0.0315,0.0382,0.035
e039,g4700,0.0496,0.045,0.0492
e039,z882,0.0541,0.0496,0.0493
e039,z885,0.0617,0.0603,0.0596
e039,e8352,0.0161,0.0168,0.0163
e039,r1310,0.0438,0.0448,0.0382
e039,g894,0.0371,0.0332,0.0325
e039,e662,0.0108,0.0125,0.0119
e039,r338,0.0174,0.0174,0.0137
e039,d61818,0.0214,0.0229,0.0215
e039,r000,0.0224,0.0233,0.0236
e039,d539,0.0149,0.0158,0.0186
e039,i714,0.0118,0.0131,0.011000000000000001
e039,r0602,0.0446,0.0551,0.0503
